Linje;Period;År;Måned;Antall
8127;2023/01;2023;1;894
8127;2023/02;2023;2;643
8127;2023/03;2023;3;1 012
8127;2023/04;2023;4;559
8127;2023/05;2023;5;731
8127;2023/06;2023;6;442
8127;2023/08;2023;8;499
8127;2023/09;2023;9;1 181
8128;2023/01;2023;1;268
8128;2023/02;2023;2;197
8128;2023/03;2023;3;333
8128;2023/04;2023;4;201
8128;2023/05;2023;5;261
8128;2023/06;2023;6;131
8128;2023/08;2023;8;110
8128;2023/09;2023;9;288
8129;2023/01;2023;1;110
8129;2023/02;2023;2;89
8129;2023/03;2023;3;131
8129;2023/04;2023;4;179
8129;2023/05;2023;5;130
8129;2023/06;2023;6;140
8129;2023/07;2023;7;111
8129;2023/08;2023;8;99
8129;2023/09;2023;9;129
8131;2023/01;2023;1;832
8131;2023/02;2023;2;359
8131;2023/03;2023;3;673
8131;2023/04;2023;4;439
8131;2023/05;2023;5;573
8131;2023/06;2023;6;455
8131;2023/07;2023;7;256
8131;2023/08;2023;8;425
8131;2023/09;2023;9;679
8132;2023/01;2023;1;1 921
8132;2023/02;2023;2;1 316
8132;2023/03;2023;3;1 801
8132;2023/04;2023;4;1 227
8132;2023/05;2023;5;1 345
8132;2023/06;2023;6;474
8132;2023/08;2023;8;639
8132;2023/09;2023;9;1 586
8133;2023/01;2023;1;2 123
8133;2023/02;2023;2;1 325
8133;2023/03;2023;3;2 195
8133;2023/04;2023;4;1 388
8133;2023/05;2023;5;1 809
8133;2023/06;2023;6;967
8133;2023/08;2023;8;808
8133;2023/09;2023;9;2 005
8135;2023/01;2023;1;455
8135;2023/02;2023;2;335
8135;2023/03;2023;3;510
8135;2023/04;2023;4;300
8135;2023/05;2023;5;356
8135;2023/06;2023;6;235
8135;2023/08;2023;8;203
8135;2023/09;2023;9;475
8136;2023/01;2023;1;619
8136;2023/02;2023;2;495
8136;2023/03;2023;3;621
8136;2023/04;2023;4;420
8136;2023/05;2023;5;473
8136;2023/06;2023;6;299
8136;2023/08;2023;8;188
8136;2023/09;2023;9;566
8140;2023/05;2023;5;77
8140;2023/06;2023;6;264
8140;2023/07;2023;7;475
8140;2023/08;2023;8;305
8140;2023/09;2023;9;162
8141;2023/01;2023;1;2 102
8141;2023/02;2023;2;1 349
8141;2023/03;2023;3;1 937
8141;2023/04;2023;4;1 359
8141;2023/05;2023;5;1 359
8141;2023/06;2023;6;706
8141;2023/08;2023;8;828
8141;2023/09;2023;9;1 995
8142;2023/01;2023;1;2 420
8142;2023/02;2023;2;1 636
8142;2023/03;2023;3;2 183
8142;2023/04;2023;4;1 486
8142;2023/05;2023;5;1 501
8142;2023/06;2023;6;879
8142;2023/07;2023;7;360
8142;2023/08;2023;8;1 053
8142;2023/09;2023;9;1 877
8143;2023/01;2023;1;1 251
8143;2023/02;2023;2;1 079
8143;2023/03;2023;3;1 169
8143;2023/04;2023;4;1 011
8143;2023/05;2023;5;848
8143;2023/06;2023;6;714
8143;2023/07;2023;7;476
8143;2023/08;2023;8;898
8143;2023/09;2023;9;1 227
8144;2023/01;2023;1;592
8144;2023/02;2023;2;449
8144;2023/03;2023;3;553
8144;2023/04;2023;4;423
8144;2023/05;2023;5;549
8144;2023/06;2023;6;332
8144;2023/08;2023;8;245
8144;2023/09;2023;9;482
8145;2023/01;2023;1;389
8145;2023/02;2023;2;270
8145;2023/03;2023;3;422
8145;2023/04;2023;4;303
8145;2023/05;2023;5;357
8145;2023/06;2023;6;174
8145;2023/08;2023;8;176
8145;2023/09;2023;9;455
8146;2023/01;2023;1;789
8146;2023/02;2023;2;558
8146;2023/03;2023;3;655
8146;2023/04;2023;4;399
8146;2023/05;2023;5;575
8146;2023/06;2023;6;396
8146;2023/08;2023;8;373
8146;2023/09;2023;9;430
8147;2023/01;2023;1;421
8147;2023/02;2023;2;294
8147;2023/03;2023;3;414
8147;2023/04;2023;4;201
8147;2023/05;2023;5;309
8147;2023/06;2023;6;173
8147;2023/08;2023;8;186
8147;2023/09;2023;9;480
8150;2023/01;2023;1;715
8150;2023/02;2023;2;388
8150;2023/03;2023;3;646
8150;2023/04;2023;4;434
8150;2023/05;2023;5;525
8150;2023/06;2023;6;335
8150;2023/08;2023;8;262
8150;2023/09;2023;9;680
8151;2023/01;2023;1;1 536
8151;2023/02;2023;2;1 182
8151;2023/03;2023;3;1 560
8151;2023/04;2023;4;974
8151;2023/05;2023;5;1 134
8151;2023/06;2023;6;688
8151;2023/08;2023;8;699
8151;2023/09;2023;9;1 555
8162;2023/01;2023;1;159
8162;2023/02;2023;2;267
8162;2023/03;2023;3;454
8162;2023/04;2023;4;211
8162;2023/05;2023;5;273
8162;2023/06;2023;6;142
8162;2023/08;2023;8;158
8162;2023/09;2023;9;400
8163;2023/01;2023;1;431
8163;2023/02;2023;2;313
8163;2023/03;2023;3;511
8163;2023/04;2023;4;319
8163;2023/05;2023;5;192
8163;2023/06;2023;6;164
8163;2023/08;2023;8;94
8163;2023/09;2023;9;313
8182;2023/01;2023;1;18 375
8182;2023/02;2023;2;16 338
8182;2023/03;2023;3;21 040
8182;2023/04;2023;4;15 472
8182;2023/05;2023;5;17 573
8182;2023/06;2023;6;15 052
8182;2023/07;2023;7;11 918
8182;2023/08;2023;8;16 601
8182;2023/09;2023;9;22 469
8185;2023/01;2023;1;4 891
8185;2023/02;2023;2;4 401
8185;2023/03;2023;3;5 631
8185;2023/04;2023;4;4 935
8185;2023/05;2023;5;4 647
8185;2023/06;2023;6;4 515
8185;2023/07;2023;7;3 907
8185;2023/08;2023;8;4 638
8185;2023/09;2023;9;5 127
8200;2023/02;2023;2;437
8200;2023/03;2023;3;301
8200;2023/04;2023;4;349
8209;2023/01;2023;1;9 793
8209;2023/02;2023;2;7 261
8209;2023/03;2023;3;11 471
8209;2023/04;2023;4;7 060
8209;2023/05;2023;5;8 399
8209;2023/06;2023;6;5 373
8209;2023/07;2023;7;976
8209;2023/08;2023;8;4 710
8209;2023/09;2023;9;9 653
8210;2023/08;2023;8;296
8210;2023/09;2023;9;641
8281;2023/01;2023;1;4 769
8281;2023/02;2023;2;4 806
8281;2023/03;2023;3;6 086
8281;2023/04;2023;4;6 627
8281;2023/05;2023;5;6 140
8281;2023/06;2023;6;7 053
8281;2023/07;2023;7;7 313
8281;2023/08;2023;8;6 357
8281;2023/09;2023;9;7 962
8282;2023/06;2023;6;36
8282;2023/07;2023;7;755
8282;2023/08;2023;8;221
8301;2023/01;2023;1;4 396
8301;2023/02;2023;2;3 175
8301;2023/03;2023;3;4 715
8301;2023/04;2023;4;2 890
8301;2023/05;2023;5;3 385
8301;2023/06;2023;6;1 887
8301;2023/08;2023;8;2 082
8301;2023/09;2023;9;4 572
8305;2023/01;2023;1;2 790
8305;2023/02;2023;2;1 846
8305;2023/03;2023;3;2 864
8305;2023/04;2023;4;1 591
8305;2023/05;2023;5;1 805
8305;2023/06;2023;6;1 056
8305;2023/08;2023;8;1 051
8305;2023/09;2023;9;2 583
8312;2023/01;2023;1;2 722
8312;2023/02;2023;2;2 053
8312;2023/03;2023;3;3 101
8312;2023/04;2023;4;1 805
8312;2023/05;2023;5;2 041
8312;2023/06;2023;6;1 082
8312;2023/08;2023;8;938
8312;2023/09;2023;9;2 108
8313;2023/01;2023;1;608
8313;2023/02;2023;2;458
8313;2023/03;2023;3;612
8313;2023/04;2023;4;334
8313;2023/05;2023;5;383
8313;2023/06;2023;6;185
8313;2023/08;2023;8;212
8313;2023/09;2023;9;584
8320;2023/01;2023;1;15
8320;2023/02;2023;2;10
8320;2023/03;2023;3;24
8320;2023/04;2023;4;28
8320;2023/05;2023;5;7
8320;2023/06;2023;6;11
8320;2023/08;2023;8;6
8320;2023/09;2023;9;24
8321;2023/01;2023;1;1 057
8321;2023/02;2023;2;685
8321;2023/03;2023;3;1 013
8321;2023/04;2023;4;448
8321;2023/05;2023;5;603
8321;2023/06;2023;6;343
8321;2023/08;2023;8;387
8321;2023/09;2023;9;985
8322;2023/01;2023;1;10 972
8322;2023/02;2023;2;7 563
8322;2023/03;2023;3;11 594
8322;2023/04;2023;4;6 537
8322;2023/05;2023;5;7 926
8322;2023/06;2023;6;3 608
8322;2023/08;2023;8;3 686
8322;2023/09;2023;9;10 155
8323;2023/01;2023;1;7 570
8323;2023/02;2023;2;6 226
8323;2023/03;2023;3;8 305
8323;2023/04;2023;4;5 675
8323;2023/05;2023;5;6 852
8323;2023/06;2023;6;5 701
8323;2023/07;2023;7;4 161
8323;2023/08;2023;8;5 407
8323;2023/09;2023;9;7 610
8459;2023/01;2023;1;4 752
8459;2023/02;2023;2;4 053
8459;2023/03;2023;3;5 041
8459;2023/04;2023;4;3 206
8459;2023/05;2023;5;3 887
8459;2023/06;2023;6;3 051
8459;2023/07;2023;7;2 124
8459;2023/08;2023;8;3 324
8459;2023/09;2023;9;4 680
8460;2023/01;2023;1;412
8460;2023/02;2023;2;278
8460;2023/03;2023;3;436
8460;2023/04;2023;4;295
8460;2023/05;2023;5;335
8460;2023/06;2023;6;211
8460;2023/08;2023;8;187
8460;2023/09;2023;9;483
8461;2023/01;2023;1;1 944
8461;2023/02;2023;2;1 309
8461;2023/03;2023;3;2 011
8461;2023/04;2023;4;1 119
8461;2023/05;2023;5;1 504
8461;2023/06;2023;6;800
8461;2023/08;2023;8;733
8461;2023/09;2023;9;1 962
8462;2023/01;2023;1;304
8462;2023/02;2023;2;217
8462;2023/03;2023;3;298
8462;2023/04;2023;4;197
